EVALUATE Epoch 1/30, LOSS 4.126, BEST LOSS 4.126, BEST EPOCH 1
EVALUATE Epoch 2/30, LOSS 1.947, BEST LOSS 1.947, BEST EPOCH 2
EVALUATE Epoch 3/30, LOSS 1.227, BEST LOSS 1.227, BEST EPOCH 3
EVALUATE Epoch 4/30, LOSS 1.171, BEST LOSS 1.171, BEST EPOCH 4
EVALUATE Epoch 5/30, LOSS 0.750, BEST LOSS 0.750, BEST EPOCH 5
EVALUATE Epoch 6/30, LOSS 0.662, BEST LOSS 0.662, BEST EPOCH 6
EVALUATE Epoch 7/30, LOSS 0.575, BEST LOSS 0.575, BEST EPOCH 7
EVALUATE Epoch 8/30, LOSS 0.601, BEST LOSS 0.575, BEST EPOCH 7
EVALUATE Epoch 9/30, LOSS 0.799, BEST LOSS 0.575, BEST EPOCH 7
EVALUATE Epoch 10/30, LOSS 0.558, BEST LOSS 0.558, BEST EPOCH 10
EVALUATE Epoch 11/30, LOSS 0.543, BEST LOSS 0.543, BEST EPOCH 11
EVALUATE Epoch 12/30, LOSS 0.549, BEST LOSS 0.543, BEST EPOCH 11
EVALUATE Epoch 13/30, LOSS 0.471, BEST LOSS 0.471, BEST EPOCH 13
EVALUATE Epoch 14/30, LOSS 0.478, BEST LOSS 0.471, BEST EPOCH 13
EVALUATE Epoch 15/30, LOSS 0.502, BEST LOSS 0.471, BEST EPOCH 13
EVALUATE Epoch 16/30, LOSS 0.452, BEST LOSS 0.452, BEST EPOCH 16
EVALUATE Epoch 17/30, LOSS 0.530, BEST LOSS 0.452, BEST EPOCH 16
EVALUATE Epoch 18/30, LOSS 0.424, BEST LOSS 0.424, BEST EPOCH 18
EVALUATE Epoch 19/30, LOSS 0.409, BEST LOSS 0.409, BEST EPOCH 19
EVALUATE Epoch 20/30, LOSS 0.385, BEST LOSS 0.385, BEST EPOCH 20
EVALUATE Epoch 21/30, LOSS 0.416, BEST LOSS 0.385, BEST EPOCH 20
EVALUATE Epoch 22/30, LOSS 0.381, BEST LOSS 0.381, BEST EPOCH 22
EVALUATE Epoch 23/30, LOSS 0.419, BEST LOSS 0.381, BEST EPOCH 22
EVALUATE Epoch 24/30, LOSS 0.448, BEST LOSS 0.381, BEST EPOCH 22
EVALUATE Epoch 25/30, LOSS 0.485, BEST LOSS 0.381, BEST EPOCH 22
EVALUATE Epoch 26/30, LOSS 0.388, BEST LOSS 0.381, BEST EPOCH 22
EVALUATE Epoch 27/30, LOSS 0.428, BEST LOSS 0.381, BEST EPOCH 22
EVALUATE Epoch 28/30, LOSS 0.414, BEST LOSS 0.381, BEST EPOCH 22
EVALUATE Epoch 29/30, LOSS 0.419, BEST LOSS 0.381, BEST EPOCH 22
EVALUATE Epoch 30/30, LOSS 0.413, BEST LOSS 0.381, BEST EPOCH 22
EVALUATE Epoch 1/30, LOSS 0.372, BEST LOSS 0.372, BEST EPOCH 1
EVALUATE Epoch 2/30, LOSS 0.357, BEST LOSS 0.357, BEST EPOCH 2
EVALUATE Epoch 3/30, LOSS 0.210, BEST LOSS 0.210, BEST EPOCH 3
EVALUATE Epoch 4/30, LOSS 0.180, BEST LOSS 0.180, BEST EPOCH 4
EVALUATE Epoch 5/30, LOSS 0.225, BEST LOSS 0.180, BEST EPOCH 4
EVALUATE Epoch 6/30, LOSS 0.383, BEST LOSS 0.180, BEST EPOCH 4
EVALUATE Epoch 7/30, LOSS 0.143, BEST LOSS 0.143, BEST EPOCH 7
EVALUATE Epoch 8/30, LOSS 0.305, BEST LOSS 0.143, BEST EPOCH 7
EVALUATE Epoch 9/30, LOSS 0.171, BEST LOSS 0.143, BEST EPOCH 7
EVALUATE Epoch 10/30, LOSS 0.127, BEST LOSS 0.127, BEST EPOCH 10
EVALUATE Epoch 11/30, LOSS 0.131, BEST LOSS 0.127, BEST EPOCH 10
EVALUATE Epoch 12/30, LOSS 0.140, BEST LOSS 0.127, BEST EPOCH 10
EVALUATE Epoch 13/30, LOSS 0.136, BEST LOSS 0.127, BEST EPOCH 10
EVALUATE Epoch 14/30, LOSS 0.129, BEST LOSS 0.127, BEST EPOCH 10
EVALUATE Epoch 15/30, LOSS 0.203, BEST LOSS 0.127, BEST EPOCH 10
EVALUATE Epoch 16/30, LOSS 0.185, BEST LOSS 0.127, BEST EPOCH 10
EVALUATE Epoch 17/30, LOSS 0.106, BEST LOSS 0.106, BEST EPOCH 17
EVALUATE Epoch 18/30, LOSS 0.151, BEST LOSS 0.106, BEST EPOCH 17
EVALUATE Epoch 19/30, LOSS 0.109, BEST LOSS 0.106, BEST EPOCH 17
EVALUATE Epoch 20/30, LOSS 0.111, BEST LOSS 0.106, BEST EPOCH 17
EVALUATE Epoch 21/30, LOSS 0.112, BEST LOSS 0.106, BEST EPOCH 17
EVALUATE Epoch 22/30, LOSS 0.177, BEST LOSS 0.106, BEST EPOCH 17
EVALUATE Epoch 23/30, LOSS 0.122, BEST LOSS 0.106, BEST EPOCH 17
EVALUATE Epoch 24/30, LOSS 0.214, BEST LOSS 0.106, BEST EPOCH 17
EVALUATE Epoch 25/30, LOSS 0.135, BEST LOSS 0.106, BEST EPOCH 17
EVALUATE Epoch 26/30, LOSS 0.104, BEST LOSS 0.104, BEST EPOCH 26
EVALUATE Epoch 27/30, LOSS 0.122, BEST LOSS 0.104, BEST EPOCH 26
EVALUATE Epoch 28/30, LOSS 0.104, BEST LOSS 0.104, BEST EPOCH 28
EVALUATE Epoch 29/30, LOSS 0.321, BEST LOSS 0.104, BEST EPOCH 28
EVALUATE Epoch 30/30, LOSS 0.180, BEST LOSS 0.104, BEST EPOCH 28
